line,recipe_ref,ingredient_name,food_id,amount_g,status,reason
"2","","","","","skipped","missing_recipe_id_and_recipe_name"
"3","","","","","skipped","missing_recipe_id_and_recipe_name"
"4","","","","","skipped","missing_recipe_id_and_recipe_name"
"5","","","","","skipped","missing_recipe_id_and_recipe_name"
"6","","","","","skipped","missing_recipe_id_and_recipe_name"
"7","","","","","skipped","missing_recipe_id_and_recipe_name"
"8","","","","","skipped","missing_recipe_id_and_recipe_name"
"9","","","","","skipped","missing_recipe_id_and_recipe_name"
"10","","","","","skipped","missing_recipe_id_and_recipe_name"
"11","","","","","skipped","missing_recipe_id_and_recipe_name"
"12","","","","","skipped","missing_recipe_id_and_recipe_name"
"13","","","","","skipped","missing_recipe_id_and_recipe_name"
"14","","","","","skipped","missing_recipe_id_and_recipe_name"
"15","","","","","skipped","missing_recipe_id_and_recipe_name"
"16","","","","","skipped","missing_recipe_id_and_recipe_name"
"17","","","","","skipped","missing_recipe_id_and_recipe_name"
"18","","","","","skipped","missing_recipe_id_and_recipe_name"
"19","","","","","skipped","missing_recipe_id_and_recipe_name"
"20","","","","","skipped","missing_recipe_id_and_recipe_name"
"21","","","","","skipped","missing_recipe_id_and_recipe_name"
"22","","","","","skipped","missing_recipe_id_and_recipe_name"
"23","","","","","skipped","missing_recipe_id_and_recipe_name"
"24","","","","","skipped","missing_recipe_id_and_recipe_name"
"25","","","","","skipped","missing_recipe_id_and_recipe_name"
"26","","","","","skipped","missing_recipe_id_and_recipe_name"
"27","","","","","skipped","missing_recipe_id_and_recipe_name"
"28","","","","","skipped","missing_recipe_id_and_recipe_name"
"29","","","","","skipped","missing_recipe_id_and_recipe_name"
"30","","","","","skipped","missing_recipe_id_and_recipe_name"
"31","","","","","skipped","missing_recipe_id_and_recipe_name"
"32","","","","","skipped","missing_recipe_id_and_recipe_name"
"33","","","","","skipped","missing_recipe_id_and_recipe_name"
"34","","","","","skipped","missing_recipe_id_and_recipe_name"
"35","","","","","skipped","missing_recipe_id_and_recipe_name"
"36","","","","","skipped","missing_recipe_id_and_recipe_name"
"37","","","","","skipped","missing_recipe_id_and_recipe_name"
"38","","","","","skipped","missing_recipe_id_and_recipe_name"
"39","","","","","skipped","missing_recipe_id_and_recipe_name"
"40","","","","","skipped","missing_recipe_id_and_recipe_name"
"41","","","","","skipped","missing_recipe_id_and_recipe_name"
"42","","","","","skipped","missing_recipe_id_and_recipe_name"
"43","","","","","skipped","missing_recipe_id_and_recipe_name"
"44","","","","","skipped","missing_recipe_id_and_recipe_name"
"45","","","","","skipped","missing_recipe_id_and_recipe_name"
"46","","","","","skipped","missing_recipe_id_and_recipe_name"
"47","","","","","skipped","missing_recipe_id_and_recipe_name"
"48","","","","","skipped","missing_recipe_id_and_recipe_name"
"49","","","","","skipped","missing_recipe_id_and_recipe_name"
"50","","","","","skipped","missing_recipe_id_and_recipe_name"
"51","","","","","skipped","missing_recipe_id_and_recipe_name"
"52","","","","","skipped","missing_recipe_id_and_recipe_name"
"53","","","","","skipped","missing_recipe_id_and_recipe_name"
"54","","","","","skipped","missing_recipe_id_and_recipe_name"
"55","","","","","skipped","missing_recipe_id_and_recipe_name"
"56","","","","","skipped","missing_recipe_id_and_recipe_name"
"57","","","","","skipped","missing_recipe_id_and_recipe_name"
"58","","","","","skipped","missing_recipe_id_and_recipe_name"
"59","","","","","skipped","missing_recipe_id_and_recipe_name"
"60","","","","","skipped","missing_recipe_id_and_recipe_name"
"61","","","","","skipped","missing_recipe_id_and_recipe_name"
"62","","","","","skipped","missing_recipe_id_and_recipe_name"
"63","","","","","skipped","missing_recipe_id_and_recipe_name"
"64","","","","","skipped","missing_recipe_id_and_recipe_name"
"65","","","","","skipped","missing_recipe_id_and_recipe_name"
"66","","","","","skipped","missing_recipe_id_and_recipe_name"
"67","","","","","skipped","missing_recipe_id_and_recipe_name"
"68","","","","","skipped","missing_recipe_id_and_recipe_name"
"69","","","","","skipped","missing_recipe_id_and_recipe_name"
"70","","","","","skipped","missing_recipe_id_and_recipe_name"
"71","","","","","skipped","missing_recipe_id_and_recipe_name"
"72","","","","","skipped","missing_recipe_id_and_recipe_name"
"73","","","","","skipped","missing_recipe_id_and_recipe_name"
"74","","","","","skipped","missing_recipe_id_and_recipe_name"
"75","","","","","skipped","missing_recipe_id_and_recipe_name"
"76","","","","","skipped","missing_recipe_id_and_recipe_name"
"77","","","","","skipped","missing_recipe_id_and_recipe_name"
"78","","","","","skipped","missing_recipe_id_and_recipe_name"
"79","","","","","skipped","missing_recipe_id_and_recipe_name"
"80","","","","","skipped","missing_recipe_id_and_recipe_name"
"81","","","","","skipped","missing_recipe_id_and_recipe_name"
"82","","","","","skipped","missing_recipe_id_and_recipe_name"
"83","","","","","skipped","missing_recipe_id_and_recipe_name"
"84","","","","","skipped","missing_recipe_id_and_recipe_name"
"85","","","","","skipped","missing_recipe_id_and_recipe_name"
"86","","","","","skipped","missing_recipe_id_and_recipe_name"
"87","","","","","skipped","missing_recipe_id_and_recipe_name"
"88","","","","","skipped","missing_recipe_id_and_recipe_name"
"89","","","","","skipped","missing_recipe_id_and_recipe_name"
"90","","","","","skipped","missing_recipe_id_and_recipe_name"
"91","","","","","skipped","missing_recipe_id_and_recipe_name"
"92","","","","","skipped","missing_recipe_id_and_recipe_name"
"93","","","","","skipped","missing_recipe_id_and_recipe_name"
"94","","","","","skipped","missing_recipe_id_and_recipe_name"
"95","","","","","skipped","missing_recipe_id_and_recipe_name"
"96","","","","","skipped","missing_recipe_id_and_recipe_name"
"97","","","","","skipped","missing_recipe_id_and_recipe_name"
"98","","","","","skipped","missing_recipe_id_and_recipe_name"
"99","","","","","skipped","missing_recipe_id_and_recipe_name"
"100","","","","","skipped","missing_recipe_id_and_recipe_name"
"101","","","","","skipped","missing_recipe_id_and_recipe_name"
"102","","","","","skipped","missing_recipe_id_and_recipe_name"
"103","","","","","skipped","missing_recipe_id_and_recipe_name"
"104","","","","","skipped","missing_recipe_id_and_recipe_name"
"105","","","","","skipped","missing_recipe_id_and_recipe_name"
"106","","","","","skipped","missing_recipe_id_and_recipe_name"
"107","","","","","skipped","missing_recipe_id_and_recipe_name"
"108","","","","","skipped","missing_recipe_id_and_recipe_name"
"109","","","","","skipped","missing_recipe_id_and_recipe_name"
"110","","","","","skipped","missing_recipe_id_and_recipe_name"
"111","","","","","skipped","missing_recipe_id_and_recipe_name"
"112","","","","","skipped","missing_recipe_id_and_recipe_name"
"113","","","","","skipped","missing_recipe_id_and_recipe_name"
"114","","","","","skipped","missing_recipe_id_and_recipe_name"
"115","","","","","skipped","missing_recipe_id_and_recipe_name"
"116","","","","","skipped","missing_recipe_id_and_recipe_name"
"117","","","","","skipped","missing_recipe_id_and_recipe_name"
"118","","","","","skipped","missing_recipe_id_and_recipe_name"
"119","","","","","skipped","missing_recipe_id_and_recipe_name"
"120","","","","","skipped","missing_recipe_id_and_recipe_name"
"121","","","","","skipped","missing_recipe_id_and_recipe_name"
"122","","","","","skipped","missing_recipe_id_and_recipe_name"
"123","","","","","skipped","missing_recipe_id_and_recipe_name"
"124","","","","","skipped","missing_recipe_id_and_recipe_name"
"125","","","","","skipped","missing_recipe_id_and_recipe_name"
"126","","","","","skipped","missing_recipe_id_and_recipe_name"
"127","","","","","skipped","missing_recipe_id_and_recipe_name"
"128","","","","","skipped","missing_recipe_id_and_recipe_name"
"129","","","","","skipped","missing_recipe_id_and_recipe_name"
"130","","","","","skipped","missing_recipe_id_and_recipe_name"
"131","","","","","skipped","missing_recipe_id_and_recipe_name"
"132","","","","","skipped","missing_recipe_id_and_recipe_name"
"133","","","","","skipped","missing_recipe_id_and_recipe_name"
"134","","","","","skipped","missing_recipe_id_and_recipe_name"
"135","","","","","skipped","missing_recipe_id_and_recipe_name"
"136","","","","","skipped","missing_recipe_id_and_recipe_name"
"137","","","","","skipped","missing_recipe_id_and_recipe_name"
"138","","","","","skipped","missing_recipe_id_and_recipe_name"
"139","","","","","skipped","missing_recipe_id_and_recipe_name"
"140","","","","","skipped","missing_recipe_id_and_recipe_name"
"141","","","","","skipped","missing_recipe_id_and_recipe_name"
"142","","","","","skipped","missing_recipe_id_and_recipe_name"
"143","","","","","skipped","missing_recipe_id_and_recipe_name"
"144","","","","","skipped","missing_recipe_id_and_recipe_name"
"145","","","","","skipped","missing_recipe_id_and_recipe_name"
"146","","","","","skipped","missing_recipe_id_and_recipe_name"
