name,brand,calories,protein,fat,carbs,fiber,unit,source,aliases,verified,confidence,source_version,allergens,intolerances
яичница глазунья,,243.0,12.9,20.9,0.9,,g,core,Яичница глазунья;eggs_fried,1,0.95,manual_core_v1,,
яйцо куриное,,143.0,12.5,9.5,0.7,,g,core,Яйцо куриное;egg_chicken,1,0.95,manual_core_v1,,
яйцо куриное вареное вкрутую,,158.7,12.82,11.61,0.7,,g,core,Яйцо куриное вареное вкрутую;egg_hard_boiled_chicken,1,0.95,manual_core_v1,,
яйцо куриное вареное всмятку,,158.7,12.82,11.61,0.7,,g,core,Яйцо куриное вареное всмятку;egg_soft_boiled_chicken,1,0.95,manual_core_v1,,
яйцо куриное жареное,,196.0,13.61,14.84,0.83,,g,core,Яйцо куриное жареное;egg_fried_chicken,1,0.95,manual_core_v1,,
яйцо куриное жареное (без масла),,174.6,14.59,12.55,0.8,,g,core,Яйцо куриное жареное (без масла);egg_fried_chicken_without oil,1,0.95,manual_core_v1,,
омлет (яйцо куриное),,154.0,10.57,11.66,0.64,,g,core,Омлет (яйцо куриное);egg_chicken_omelette,1,0.95,manual_core_v1,,
пашот (яйцо куриное),,143.0,12.51,9.47,0.71,,g,core,Пашот (яйцо куриное);chicken_egg_poached,1,0.95,manual_core_v1,,
яйцо перепелиное,,158.0,13.05,11.09,0.41,,g,core,Яйцо перепелиное;quail_egg,1,0.95,manual_core_v1,,
омлет с сыром,,342.0,16.3,20.07,2.6,,g,core,Омлет с сыром;omelette_with_cheese,1,0.95,manual_core_v1,,
яйцо гусиное,,185.0,13.9,13.3,1.4,,g,core,Яйцо гусиное;egg_goose,1,0.95,manual_core_v1,,
яйцо куриное белок,,48.0,11.1,0.0,1.0,,g,core,Яйцо куриное белок;egg_chicken_protein,1,0.95,manual_core_v1,,
яйцо куриное желток,,354.0,16.2,31.2,0.0,,g,core,Яйцо куриное желток;egg_сhicken_yolk,1,0.95,manual_core_v1,,
яйцо страусиное,,118.0,12.2,11.7,0.7,,g,core,Яйцо страусиное;оstrich_egg,1,0.95,manual_core_v1,,
яйцо утиное,,185.0,13.3,14.5,0.1,,g,core,Яйцо утиное;duck_egg,1,0.95,manual_core_v1,,
айран (тан) газированный,,24.0,1.1,1.5,1.4,,g,core,Айран (тан) газированный;ayran_(tan)_carbonated,1,0.95,manual_core_v1,lactose,
айран (тан) из козьего молока,,24.0,1.1,1.5,1.4,,g,core,Айран (тан) из козьего молока;ayran_(tan)_from_goat's_milk,1,0.95,manual_core_v1,lactose,
айран (тан) негазированный,,24.0,1.1,1.5,1.4,,g,core,Айран (тан) негазированный;ayran_(tan)_still,1,0.95,manual_core_v1,lactose,
айран (тан) сильногазированный,,19.0,1.1,1.0,1.4,,g,core,Айран (тан) сильногазированный;ayran_(tan)_highly_carbonated,1,0.95,manual_core_v1,lactose,
ацидофилин 0.1,,31.0,3.0,0.1,3.9,,g,core,Ацидофилин 0.1 %;acidophilus_0_1,1,0.95,manual_core_v1,lactose,
ацидофилин 1,,40.0,3.0,0.1,4.0,,g,core,Ацидофилин 1 %;acidophilus_1,1,0.95,manual_core_v1,lactose,
ацидофилин 3.2,,57.0,2.8,3.2,3.8,,g,core,Ацидофилин 3.2 %;acidophilus_3_2,1,0.95,manual_core_v1,lactose,
ацидофилин 3.2  сладкий,,77.0,2.8,3.2,8.6,,g,core,Ацидофилин 3.2 % сладкий;acidophilus_3_2_sweet,1,0.95,manual_core_v1,lactose,
запеканка творожная,,168.0,17.6,4.2,14.2,,g,core,Запеканка творожная;cottage_cheese_casserole,1,0.95,manual_core_v1,lactose,
кефир 0,,30.0,3.0,0.1,3.8,,g,core,Кефир 0 %;kefir_0,1,0.95,manual_core_v1,lactose,
кефир 1,,40.0,2.8,1.0,4.0,,g,core,Кефир 1 %;kefir_1,1,0.95,manual_core_v1,lactose,
кефир 1.5,,41.0,3.3,1.5,3.6,,g,core,Кефир 1.5 %;kefir_1_5,1,0.95,manual_core_v1,lactose,
кефир 2,,51.0,3.4,2.0,4.7,,g,core,Кефир 2 %;kefir_2,1,0.95,manual_core_v1,lactose,
кефир 2.5,,50.0,2.8,2.5,3.9,,g,core,Кефир 2.5 %;kefir_2_5,1,0.95,manual_core_v1,lactose,
кефир 3.2,,56.0,2.8,3.2,4.1,,g,core,Кефир 3.2 %;kefir_3_2,1,0.95,manual_core_v1,lactose,
молоко,,64.0,3.2,3.6,4.8,,g,core,Молоко;milk,1,0.95,manual_core_v1,lactose,
молоко 0.1 (обезжиренное),,31.0,2.0,0.1,4.8,,g,core,Молоко 0.1% (обезжиренное);milk_0_1_(skim),1,0.95,manual_core_v1,lactose,
молоко 0.7,,38.0,3.3,0.7,4.7,,g,core,Молоко 0.7%;milk_0_7,1,0.95,manual_core_v1,lactose,
молоко 1,,41.0,3.3,1.0,4.8,,g,core,Молоко 1%;milk_1,1,0.95,manual_core_v1,lactose,
молоко 1.5,,44.0,2.8,1.5,4.7,,g,core,Молоко 1.5%;milk_1_5,1,0.95,manual_core_v1,lactose,
молоко 2.5,,52.0,2.8,2.5,4.7,,g,core,Молоко 2.5%;milk_2_5,1,0.95,manual_core_v1,lactose,
молоко 3.2,,59.0,2.9,3.2,4.7,,g,core,Молоко 3.2%;milk_3_2,1,0.95,manual_core_v1,lactose,
молоко 3.2 (пастеризованное),,58.0,2.8,3.2,4.7,,g,core,Молоко 3.2% (пастеризованное);milk_3_2_(pasteurized),1,0.95,manual_core_v1,lactose,
молоко 3.4 (цельное пастеризованное),,65.0,3.0,3.4,4.7,,g,core,Молоко 3.4% (цельное пастеризованное);milk_3_4_(whole pasteurized),1,0.95,manual_core_v1,lactose,
молоко 3.6,,62.0,2.8,3.6,4.7,,g,core,Молоко 3.6%;milk_3_6,1,0.95,manual_core_v1,lactose,
молоко 3.9 (цельное пастеризованное),,69.0,3.2,3.9,4.7,,g,core,Молоко 3.9% (цельное пастеризованное);milk_3_9_(whole pasteurized),1,0.95,manual_core_v1,lactose,
молоко 4.5,,72.0,3.1,4.5,4.7,,g,core,Молоко 4.5%;milk_4_5,1,0.95,manual_core_v1,lactose,
молоко козье,,68.0,3.6,3.3,4.8,,g,core,Молоко козье;goat_milk,1,0.95,manual_core_v1,lactose,
молоко коровье свежее,,62.0,2.9,3.5,4.7,,g,core,Молоко коровье свежее;fresh_cow's_milk,1,0.95,manual_core_v1,lactose,
молоко кунжутное,,142.0,3.1,8.1,14.2,,g,core,Молоко кунжутное;sesame_milk,1,0.95,manual_core_v1,f10,
молоко ореховое,,126.0,3.7,3.5,21.3,,g,core,Молоко ореховое;nut_milk,1,0.95,manual_core_v1,,
молоко сгущённое без сахара,,126.0,6.6,7.5,9.4,,g,core,Молоко сгущённое без сахара;condensed_milk_without_sugar,1,0.95,manual_core_v1,lactose,
молоко сгущённое с сахаром,,320.0,7.2,8.5,56.0,,g,core,Молоко сгущённое с сахаром;сondensed_milk_with_sugar,1,0.95,manual_core_v1,lactose,
молоко сухое обезжиренное,,362.0,33.2,1.0,52.6,,g,core,Молоко сухое обезжиренное;skimmed_milk_powder,1,0.95,manual_core_v1,lactose,
молоко топлёное,,84.0,3.0,6.0,4.7,,g,core,Молоко топлёное;baked_milk,1,0.95,manual_core_v1,lactose,
молочко кедровое,,55.0,2.3,4.5,1.2,,g,core,Молочко кедровое;сedar_milk,1,0.95,manual_core_v1,,
ряженка 1,,40.0,3.0,1.0,4.2,,g,core,Ряженка 1%;baked_fermented_milk_1,1,0.95,manual_core_v1,lactose,
ряженка 2.5,,54.0,2.9,2.5,4.2,,g,core,Ряженка 2.5%;baked_fermented_milk_2_5,1,0.95,manual_core_v1,lactose,
ряженка 3.2,,57.0,2.9,3.2,4.1,,g,core,Ряженка 3.2%;baked_fermented_milk_3_2,1,0.95,manual_core_v1,lactose,
ряженка 4,,67.0,2.8,4.0,4.2,,g,core,Ряженка 4%;baked_fermented_milk_4,1,0.95,manual_core_v1,lactose,
ряженка 6,,84.0,5.0,6.0,4.1,,g,core,Ряженка 6%;baked_fermented_milk_6,1,0.95,manual_core_v1,lactose,
сливки 9,,107.0,2.8,9.0,4.0,,g,core,Сливки 9%;cream_9,1,0.95,manual_core_v1,lactose,
сливки 10,,118.0,3.0,10.0,4.0,,g,core,Сливки 10%;cream_10,1,0.95,manual_core_v1,lactose,
сливки 15,,161.0,2.3,15.0,3.6,,g,core,Сливки 15%;cream_15,1,0.95,manual_core_v1,lactose,
сливки 20,,205.0,2.8,20.0,3.7,,g,core,Сливки 20%;cream_20,1,0.95,manual_core_v1,lactose,
сливки 33,,322.0,2.2,33.0,4.0,,g,core,Сливки 33%;cream_33,1,0.95,manual_core_v1,lactose,
сливки 35,,337.0,2.5,35.0,3.0,,g,core,Сливки 35%;cream_35,1,0.95,manual_core_v1,lactose,
сливки взбитые,,257.0,3.2,22.2,12.5,,g,core,Сливки взбитые;whipped_cream,1,0.95,manual_core_v1,lactose,
сливки сухие,,579.0,23.0,42.7,26.3,,g,core,Сливки сухие;dry_cream,1,0.95,manual_core_v1,lactose,
сметана 10,,115.0,3.0,10.0,2.9,,g,core,Сметана 10%;sour_cream_10,1,0.95,manual_core_v1,lactose,
сметана 12,,133.0,2.7,12.0,3.9,,g,core,Сметана 12%;sour_cream_12,1,0.95,manual_core_v1,lactose,
сметана 15,,158.0,2.6,15.0,3.0,,g,core,Сметана 15%;sour_cream_15,1,0.95,manual_core_v1,lactose,
сметана 18,,184.0,2.5,18.0,3.6,,g,core,Сметана 18%;sour_cream_18,1,0.95,manual_core_v1,lactose,
сметана 20,,206.0,2.8,20.0,3.2,,g,core,Сметана 20%;sour_cream_20,1,0.95,manual_core_v1,lactose,
сметана 25,,248.0,2.6,25.0,2.5,,g,core,Сметана 25%;sour_cream_25,1,0.95,manual_core_v1,lactose,
сметана 30,,294.0,2.4,30.0,3.1,,g,core,Сметана 30%;sour_cream_30,1,0.95,manual_core_v1,lactose,
сметана 40,,381.0,2.4,40.0,2.6,,g,core,Сметана 40%;sour_cream_40,1,0.95,manual_core_v1,lactose,
масло абрикосовое,,899.0,0.0,99.9,0.0,,g,core,Масло абрикосовое;apricot_oil,1,0.95,manual_core_v1,,
масло авокадо,,884.0,0.0,100.0,0.0,,g,core,Масло авокадо;avocado_oil,1,0.95,manual_core_v1,,
масло амаранта,,736.0,0.0,81.8,0.0,,g,core,Масло амаранта;amaranth_oil,1,0.95,manual_core_v1,,
масло арахисовое,,899.0,0.0,99.9,0.0,,g,core,Масло арахисовое;peanut_butter,1,0.95,manual_core_v1,,
масло виноградных косточек,,899.0,0.0,99.9,0.0,,g,core,Масло виноградных косточек;grape_seed_oil,1,0.95,manual_core_v1,,
масло горчичное,,898.0,0.0,99.8,0.0,,g,core,Масло горчичное;mustard_oil,1,0.95,manual_core_v1,,
масло грецкого ореха,,898.0,0.0,99.8,0.0,,g,core,Масло грецкого ореха;walnut_oil,1,0.95,manual_core_v1,,
масло гхи топлёное,,902.0,0.0,100.0,0.0,,g,core,Масло гхи топлёное;clarified_ghee_butter,1,0.95,manual_core_v1,,
масло зародышей пшеницы,,884.0,0.0,100.0,0.0,,g,core,Масло зародышей пшеницы;wheat_germ_oil,1,0.95,manual_core_v1,,
масло какао,,889.0,0.0,99.9,0.0,,g,core,Масло какао;cocoa_butter,1,0.95,manual_core_v1,,
масло кедрового ореха,,898.0,0.0,99.9,0.0,,g,core,Масло кедрового ореха;cedar_nut_oil,1,0.95,manual_core_v1,,
масло канолы,,899.0,0.0,99.9,0.0,,g,core,Масло канолы;canola_oil,1,0.95,manual_core_v1,,
масло кокосовое,,899.0,0.0,99.9,0.0,,g,core,Масло кокосовое;coconut_oil,1,0.95,manual_core_v1,,
масло конопляное,,899.0,0.0,99.9,0.0,,g,core,Масло конопляное;hemp_oil,1,0.95,manual_core_v1,,
масло кукурузное,,899.0,0.0,99.9,0.0,,g,core,Масло кукурузное;corn_oil,1,0.95,manual_core_v1,,
масло кунжутное,,899.0,0.0,99.9,0.0,,g,core,Масло кунжутное;sesame_oil,1,0.95,manual_core_v1,,
масло лимонное,,900.0,0.0,100.0,0.0,,g,core,Масло лимонное;lemon_oil,1,0.95,manual_core_v1,,
масло льняное,,898.0,0.0,99.8,0.0,,g,core,Масло льняное;flaxseed_oil,1,0.95,manual_core_v1,,
масло макадамии,,708.0,9.2,74.6,10.0,,g,core,Масло макадамии;macadamia_oil,1,0.95,manual_core_v1,,
масло маковое,,898.0,0.0,99.8,0.0,,g,core,Масло маковое;poppy_oil,1,0.95,manual_core_v1,,
масло миндальное,,816.0,0.0,90.7,0.0,,g,core,Масло миндальное;almond_oil,1,0.95,manual_core_v1,,
масло мускатного ореха,,899.0,0.0,100.0,0.1,,g,core,Масло мускатного ореха;nutmeg_oil,1,0.95,manual_core_v1,,
масло облепиховое,,896.0,0.0,99.5,0.0,,g,core,Масло облепиховое;sea_buckthorn_oil,1,0.95,manual_core_v1,,
масло овсяное,,890.0,0.0,99.0,0.0,,g,core,Масло овсяное;oat_oil,1,0.95,manual_core_v1,,
масло оливковое,,898.0,0.0,99.8,0.0,,g,core,Масло оливковое;olive_oil,1,0.95,manual_core_v1,,
масло ореховое,,899.0,0.0,100.0,0.0,,g,core,Масло ореховое;nut_butter,1,0.95,manual_core_v1,,
масло пальмовое,,899.0,0.0,99.9,0.0,,g,core,Масло пальмовое;palm_oil,1,0.95,manual_core_v1,,
масло подсолнечное,,900.0,0.0,99.9,0.0,,g,core,Масло подсолнечное;sunflower oil,1,0.95,manual_core_v1,,
масло рапсовое,,899.0,0.0,99.9,0.0,,g,core,Масло рапсовое;rapeseed oil,1,0.95,manual_core_v1,,
масло растительное нерафинированное,,899.0,0.0,99.9,0.0,,g,core,Масло растительное нерафинированное;unrefined vegetable oil,1,0.95,manual_core_v1,,
